year,state,district,crop,season,soil_type,irrigation,seed_variety,area,rainfall,temperature,fertilizer,pesticide,production,yield
1997,Odisha,Sundargarh,Arhar/Tur,Autumn,Mixed Red & Yellow,Lift,Local,25621.0,1496.6,21.89,2438350.57,7942.51,6487.0,0.202777778
1997,Odisha,Sundargarh,Arhar/Tur,Summer,Mixed Red & Yellow,Lift,Local,86559.0,1496.6,25.69,8237820.03,26833.29,16414.0,0.216785714
1997,Odisha,Sundargarh,Arhar/Tur,Winter,Mixed Red & Yellow,Lift,Hybrid,116553.0,1496.6,19.87666667,11092349.01,36131.43,23305.0,0.198928571
1997,Odisha,Sundargarh,Groundnut,Autumn,Mixed Red & Yellow,Tubewell,Hybrid,37462.0,1496.6,21.89,3565258.54,11613.22,34433.0,0.840434783
1997,Odisha,Sundargarh,Groundnut,Summer,Lateritic,Lift,Local,39729.0,1496.6,25.69,3781008.93,12315.99,48815.0,1.211071429
1997,Odisha,Sundargarh,Groundnut,Winter,Mixed Red & Yellow,Tubewell,Hybrid,8157.0,1496.6,19.87666667,776301.69,2528.67,8905.0,0.884782609
1997,Odisha,Sundargarh,Horse-Gram,Summer,Mixed Red & Yellow,Tubewell,Hybrid,952.0,1496.6,25.69,90601.84,295.12,253.0,0.274444444
1997,Odisha,Sundargarh,Horse-Gram,Winter,Mixed Red & Yellow,Lift,Hybrid,114779.0,1496.6,19.87666667,10923517.43,35581.49,32809.0,0.303448276
1997,Odisha,Sundargarh,Jute,Autumn,Lateritic,Lift,Local,92010.0,1496.6,21.89,8756591.7,28523.1,123210.0,1.215
1997,Odisha,Sundargarh,Maize,Autumn,Lateritic,Tubewell,Local,51349.0,1496.6,21.89,4886884.33,15918.19,63331.0,0.812
1997,Odisha,Sundargarh,Maize,Summer,Lateritic,Tubewell,Hybrid,1164.0,1496.6,25.69,110777.88,360.84,978.0,0.945714286
1997,Odisha,Sundargarh,Maize,Winter,Mixed Red & Yellow,Tubewell,Local,144.0,1496.6,19.87666667,13704.48,44.64,136.0,0.9925
1997,Odisha,Sundargarh,Potato,Whole Year,Mixed Red & Yellow,Tubewell,Local,8887.0,1496.6,24.1,845775.79,2754.97,87413.0,8.774
1997,Odisha,Sundargarh,Ragi,Autumn,Mixed Red & Yellow,Lift,Local,41987.0,1496.6,21.89,3995902.79,13015.97,26885.0,0.464615385
1997,Odisha,Sundargarh,Ragi,Summer,Lateritic,Tubewell,Hybrid,603.0,1496.6,25.69,57387.51,186.93,429.0,0.576153846
1997,Odisha,Sundargarh,Ragi,Winter,Lateritic,Lift,Hybrid,37191.0,1496.6,19.87666667,3539467.47,11529.21,19693.0,0.488125
1997,Odisha,Sundargarh,Sesamum,Autumn,Mixed Red & Yellow,Tubewell,Hybrid,7286.0,1496.6,21.89,693408.62,2258.66,1626.0,0.212352941
1997,Odisha,Sundargarh,Sesamum,Summer,Mixed Red & Yellow,Tubewell,Local,16106.0,1496.6,25.69,1532808.02,4992.86,4065.0,0.259583333
1997,Odisha,Sundargarh,Sesamum,Winter,Mixed Red & Yellow,Tubewell,Local,48551.0,1496.6,19.87666667,4620598.67,15050.81,8316.0,0.17
1997,Odisha,Sundargarh,Sugarcane,Winter,Mixed Red & Yellow,Tubewell,Hybrid,18682.0,1496.6,19.87666667,1777965.94,5791.42,1144012.0,55.64206897
1997,Odisha,Sundargarh,Urad,Autumn,Mixed Red & Yellow,Tubewell,Hybrid,32111.0,1496.6,21.89,3056003.87,9954.41,8536.0,0.233181818
1997,Odisha,Sundargarh,Urad,Summer,Lateritic,Tubewell,Hybrid,2077.0,1496.6,25.69,197668.09,643.87,480.0,0.277826087
1997,Odisha,Sundargarh,Urad,Winter,Mixed Red & Yellow,Lift,Local,118618.0,1496.6,19.87666667,11288875.06,36771.58,38610.0,0.261333333
1997,Odisha,Sundargarh,Wheat,Rabi,Lateritic,Tubewell,Local,5162.0,1496.6,21.51666667,491267.54,1600.22,6360.0,0.856666667
1998,Odisha,Sundargarh,Groundnut,Autumn,Mixed Red & Yellow,Tubewell,Local,32001.0,1357.1,22.42,3161698.8,9280.29,27051.0,0.742608696
1998,Odisha,Sundargarh,Groundnut,Summer,Mixed Red & Yellow,Lift,Local,45581.0,1357.1,26.41,4503402.8,13218.49,39912.0,1.031
1998,Odisha,Sundargarh,Groundnut,Winter,Lateritic,Tubewell,Local,5987.0,1357.1,20.62,591515.6,1736.23,5184.0,0.94
1998,Odisha,Sundargarh,Horse-Gram,Summer,Lateritic,Lift,Hybrid,528.0,1357.1,26.41,52166.4,153.12,81.0,0.105714286
1998,Odisha,Sundargarh,Horse-Gram,Winter,Mixed Red & Yellow,Lift,Hybrid,96407.0,1357.1,20.62,9525011.6,27958.03,23838.0,0.250666667
1998,Odisha,Sundargarh,Jute,Autumn,Mixed Red & Yellow,Tubewell,Hybrid,5313.0,1357.1,22.42,524924.4,1540.77,41593.0,6.449090909
1998,Odisha,Sundargarh,Maize,Autumn,Mixed Red & Yellow,Tubewell,Hybrid,50230.0,1357.1,22.42,4962724.0,14566.7,65866.0,0.838846154
1998,Odisha,Sundargarh,Maize,Summer,Lateritic,Lift,Hybrid,276.0,1357.1,26.41,27268.8,80.04,240.0,0.94125
1998,Odisha,Sundargarh,Maize,Winter,Lateritic,Lift,Hybrid,417.0,1357.1,20.62,41199.6,120.93,247.0,0.717142857
1998,Odisha,Sundargarh,Moong(Green Gram),Autumn,Mixed Red & Yellow,Lift,Local,21845.0,1357.1,22.42,2158286.0,6335.05,5123.0,0.174210526
1998,Odisha,Sundargarh,Moong(Green Gram),Summer,Mixed Red & Yellow,Lift,Local,92720.0,1357.1,26.41,9160736.0,26888.8,22077.0,0.253793103
1998,Odisha,Sundargarh,Moong(Green Gram),Winter,Lateritic,Lift,Hybrid,106933.0,1357.1,20.62,10564980.4,31010.57,17537.0,0.136296296
1998,Odisha,Sundargarh,Potato,Winter,Mixed Red & Yellow,Lift,Local,7955.0,1357.1,20.62,785954.0,2306.95,92624.0,9.830666667
1998,Odisha,Sundargarh,Ragi,Autumn,Mixed Red & Yellow,Tubewell,Local,41039.0,1357.1,22.42,4054653.2,11901.31,27015.0,0.408
1998,Odisha,Sundargarh,Ragi,Summer,Mixed Red & Yellow,Lift,Hybrid,861.0,1357.1,26.41,85066.8,249.69,596.0,0.476363636
